2021-11-25 11:57:46.870 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2b7b622d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-25 11:57:46.984 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-25 11:57:46.990 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[common.yml] & group[DEFAULT_GROUP]
2021-11-25 11:57:46.998 [main] INFO  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Loading nacos data, dataId: 'sample-cloud-service-order', group: 'DEFAULT_GROUP', data: test: 111
2021-11-25 11:57:47.173 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-25 11:57:47.180 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order-dev.yml] & group[DEFAULT_GROUP]
2021-11-25 11:57:47.180 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='sample-cloud-service-order-dev.yml'}, NacosPropertySource {name='sample-cloud-service-order.yml'}, NacosPropertySource {name='sample-cloud-service-order'}, NacosPropertySource {name='common.yml'}]}
2021-11-25 11:57:47.185 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - The following profiles are active: dev
2021-11-25 11:57:47.418 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
2021-11-25 11:57:47.419 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2021-11-25 11:57:47.494 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-25 11:57:47.557 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=8d776f53-2f49-3ba3-a993-9608829d5e3d
2021-11-25 11:57:47.567 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sample.cloud.base.api.service.BaseDataClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-25 11:57:47.597 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$2b7b622d] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-25 11:57:47.668 [main] WARN  io.undertow.websockets.jsr - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2021-11-25 11:57:47.682 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2021-11-25 11:57:47.682 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 483 ms
2021-11-25 11:57:47.984 [main] INFO  s.cloud.core.ribbon.config.RibbonConfiguration - 随机负载均衡
2021-11-25 11:57:47.989 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:57:47.989 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-25 11:57:47.990 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-25 11:57:47.990 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-25 11:57:48.047 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-25 11:57:48.095 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2021-11-25 11:57:48.179 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-11-25 11:57:48.236 [main] INFO  io.undertow - starting server: Undertow - 2.0.28.Final
2021-11-25 11:57:48.240 [main] INFO  org.xnio - XNIO version 3.3.8.Final
2021-11-25 11:57:48.245 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.3.8.Final
2021-11-25 11:57:48.279 [main] INFO  o.s.b.w.embedded.undertow.UndertowServletWebServer - Undertow started on port(s) 3001 (http) with context path '/service-order'
2021-11-25 11:57:48.325 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sample-cloud-service-order 192.168.0.21:3001 register finished
2021-11-25 11:57:48.328 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - Started ServiceOrderApplication in 1.789 seconds (JVM running for 2.162)
2021-11-25 11:57:48.407 [RMI TCP Connection(2)-127.0.0.1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-25 11:57:48.407 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-11-25 11:57:48.410 [RMI TCP Connection(2)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2021-11-25 11:58:24.191 [Thread-12] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2021-11-25 11:58:24.198 [Thread-12] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2021-11-25 11:58:24.200 [Thread-12] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-25 11:58:24.204 [Thread-12] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-11-25 11:58:24.204 [Thread-12] INFO  io.undertow - stopping server: Undertow - 2.0.28.Final
2021-11-25 11:58:27.147 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ac375347] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-25 11:58:27.264 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-25 11:58:27.271 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[common.yml] & group[DEFAULT_GROUP]
2021-11-25 11:58:27.284 [main] INFO  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Loading nacos data, dataId: 'sample-cloud-service-order', group: 'DEFAULT_GROUP', data: test: 111
2021-11-25 11:58:27.470 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-25 11:58:27.488 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order-dev.yml] & group[DEFAULT_GROUP]
2021-11-25 11:58:27.490 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='sample-cloud-service-order-dev.yml'}, NacosPropertySource {name='sample-cloud-service-order.yml'}, NacosPropertySource {name='sample-cloud-service-order'}, NacosPropertySource {name='common.yml'}]}
2021-11-25 11:58:27.500 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - The following profiles are active: dev
2021-11-25 11:58:27.709 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
2021-11-25 11:58:27.716 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2021-11-25 11:58:27.801 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-25 11:58:27.864 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=8d776f53-2f49-3ba3-a993-9608829d5e3d
